"skill_name","average_salary"
"c++","177283"
"pandas","177283"
"pytorch","177283"
"numpy","177283"
"tensorflow","177283"
"mongodb","165000"
"elasticsearch","165000"
"kafka","165000"
"aurora","165000"
"mongodb","165000"
"postgresql","141570"
"nosql","137479"
"mysql","131750"
"aws","131438"
"redshift","122925"
"oracle","121463"
"sql server","120379"
"firebase","118140"
"firebase","118140"
"airflow","118140"
"kubernetes","118140"
"github","118140"
"azure","115826"
"hadoop","112141"
"javascript","111175"
